"","...1","seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"19",19,"1",167063581,167064091,511,"*",6,0,8.67501521497705e-19,9.45715458171094e-13,1.50431404022885e-20,-0.308612713472952,-0.104162395960887,"DUSP27"
"20",20,"2",65540411,65541310,900,"*",5,0,5.72552139158413e-19,6.96738898635271e-13,2.84470225958138e-20,-0.231667353421232,-0.112325764758876,"SPRED2"
"21",21,"12",47628981,47630263,1283,"*",6,0,3.43520080918673e-18,6.93232805145596e-13,3.87292393927955e-20,-0.549770947407473,-0.135294911335762,"PCED1B"
"22",22,"3",131752709,131755265,2557,"*",11,0,8.20660591412323e-15,8.043474691674e-13,4.07533661035255e-20,-0.55859647016535,-0.10770920408885,"CPNE4"
"23",23,"1",121260494,121261404,911,"*",4,0,5.64217082714238e-19,1.01063324301277e-12,6.37030314767744e-20,-0.352694425902765,-0.134093480525891,"EMBP1, RP11-344P13.6"
"24",24,"11",1047559,1048615,1057,"*",4,0,2.81513692606909e-18,1.3929122005032e-12,2.12038741738501e-19,-0.287035928227234,-0.165294517439781,NA
"25",25,"1",3466683,3467842,1160,"*",4,0,2.81084248065621e-16,4.58749786933022e-12,5.52440230301223e-19,-0.31745216279432,-0.109243711885662,"MEGF6"
"26",26,"2",75928516,75929848,1333,"*",3,0,1.99188175082681e-17,2.28329803901395e-13,1.41418072853108e-18,-0.402421394638052,-0.210002300059461,"GCFC2"
"27",27,"3",133117420,133118940,1521,"*",5,0,4.51014451613231e-14,3.65612489517706e-13,1.27795800994459e-17,-0.245606301598971,-0.100695380593805,"BFSP2"
"28",28,"4",187557837,187558845,1009,"*",3,0,4.12295578577865e-16,2.27437537135477e-13,1.59054770718849e-17,-0.378975312005366,-0.128380455017717,"FAT1"
"29",29,"8",145060532,145061628,1097,"*",6,0,2.22286234669623e-11,4.95910410305124e-13,2.97328187573347e-17,-0.336655448674599,-0.116538647484887,"PARP10"
"30",30,"4",1975115,1976361,1247,"*",7,2.05669763989939e-193,2.12115968683159e-18,9.04078899929322e-07,5.19747540072747e-17,-0.374898001455415,-0.119000686703324,"WHSC1"
"31",31,"7",2393524,2395427,1904,"*",15,2.21824592799688e-95,2.01486769633458e-15,0.00012433997263763,5.33652540069567e-17,-0.366306339215621,-0.106942902466367,"EIF3B, SNX8"
"32",32,"2",241535685,241536284,600,"*",5,0,2.73084353728245e-13,3.65612489373187e-13,1.00423958330622e-16,-0.235655179045384,-0.103648101794398,"CAPN10"
"33",33,"1",17292908,17294772,1865,"*",6,0,4.90416570596922e-10,5.97434104093795e-13,1.34686465577826e-16,-0.413814775370609,-0.113951865984446,"CROCC"
"34",34,"17",39942456,39943545,1090,"*",13,1.02729390238425e-149,4.48707876333623e-14,5.68712026974688e-05,1.70794930429663e-16,-0.443939373531213,-0.105018147062982,"JUP"
"35",35,"2",234847554,234848156,603,"*",5,0,3.76732541908294e-10,3.65612473961364e-13,1.86496645921211e-16,0.431137915515545,0.121418314403225,"TRPM8"
"36",36,"1",2228238,2229113,876,"*",3,0,3.43499744325869e-14,5.11828537111222e-13,3.28763718088047e-16,-0.28423403351252,-0.114159640588881,"SKI"
"37",37,"1",2310084,2310327,244,"*",3,0,1.0762481681647e-13,2.40040817600113e-13,4.82837677127725e-16,-0.158026743960248,-0.115731254721361,"MORN1"
"38",38,"3",20049601,20049638,38,"*",3,0,2.57838611238985e-14,5.18097876994313e-13,6.14650569138516e-16,-0.245985394290445,-0.118747490760164,"PP2D1, AC097635.4"
"39",39,"4",113300446,113300821,376,"*",5,0,2.27001811048961e-11,3.65612487569992e-13,6.24513322613033e-16,0.411602199637081,0.10634281613767,"ALPK1"
"40",40,"3",42850066,42851019,954,"*",5,0,2.78958480885815e-12,5.42368513142565e-13,6.91987734469964e-16,-0.303587884123147,-0.100685544562999,"ACKR2, RP11-141M3.5, KRBOX1, KRBOX1, RP11-70C1.3"
"41",41,"2",816777,817733,957,"*",4,0,2.52225210857598e-12,4.33446868226881e-13,7.53295287197074e-16,0.369203266224017,0.11541301267217,"LINC01115"
"42",42,"2",65092221,65092614,394,"*",3,0,2.24112777712057e-13,7.04002005028865e-13,8.37524940324116e-16,-0.494819268985527,-0.178933395941787,NA
"43",43,"2",151342091,151344746,2656,"*",12,2.89693135178832e-44,1.06759178207493e-16,0.00096384058209116,1.12104741183837e-15,-0.390616268473303,-0.11116890601554,"RND3"
"44",44,"7",75956146,75959203,3058,"*",13,1.16355775404127e-45,4.83773049657961e-12,0.0004439601034557,1.13081895704737e-15,-0.480435769685066,-0.114988300929338,"YWHAG"
"45",45,"19",3198856,3199082,227,"*",4,0,5.2193824801373e-12,3.02206729895783e-13,1.46436064061769e-15,-0.178592344325426,-0.107837040950107,"NCLN"
"46",46,"4",2929576,2930361,786,"*",6,1.81841240527873e-189,9.18604817560907e-16,2.95796163000891e-06,1.49722274244533e-15,-0.466323996134522,-0.127265991285249,"ADD1"
"47",47,"4",8372691,8373553,863,"*",6,0,5.2269954788999e-12,5.71399347955192e-13,1.87619375119646e-15,-0.284782084143812,-0.103469745984559,"ACOX3"
"48",48,"22",50845159,50845380,222,"*",3,0,3.28898046248293e-13,2.19367493751957e-13,2.02149624190911e-15,-0.176539490136486,-0.105047136448384,"PPP6R2"
"49",49,"3",64084951,64085148,198,"*",3,0,3.78020690949833e-11,3.63667790938539e-13,2.12299538244724e-15,-0.26070012947915,-0.125659790446953,"RP11-129B22.1, PRICKLE2-AS1, PRICKLE2"
"50",50,"7",154703905,154706964,3060,"*",13,0,2.98573612721946e-10,9.50592472555111e-13,2.73497748743629e-15,-0.24423016665972,-0.101356163195251,NA
"51",51,"3",195869691,195870249,559,"*",3,0,1.913956183761e-12,3.42838176470025e-13,4.21586087089253e-15,-0.339122038112133,-0.15239565024,"LINC00885"
"52",52,"17",80195402,80197898,2497,"*",10,1.38229392934562e-101,4.10654007800918e-14,3.90447510845547e-05,4.22582397463398e-15,-0.395024985937861,-0.141623111673723,"SLC16A3, CSNK1D"
"53",53,"11",68192511,68194238,1728,"*",11,1.72099649395998e-98,4.17503905624102e-11,8.56008208513109e-05,5.76256035104439e-15,-0.331877838427177,-0.103963264909251,"LRP5"
"54",54,"17",33759512,33760527,1016,"*",11,5.30452069030188e-217,1.54664220197058e-12,4.42316308836682e-06,8.81134956447276e-15,-0.391072252891771,-0.127170666139126,"SLFN12"
"55",55,"1",62729257,62729423,167,"*",3,1.58281852333846e-238,2.30865074756944e-15,2.70548473854972e-07,1.10328734780967e-14,-0.169512037678067,-0.100174387585798,"KANK4"
"56",56,"20",49574504,49575492,989,"*",13,1.7352615092345e-130,1.15917412238749e-10,2.62090606395446e-05,1.58427782097025e-14,-0.422927367128304,-0.105333888730244,"MOCS3, DPM1"
"57",57,"20",3761916,3762520,605,"*",7,6.24340613956771e-149,4.31352523662197e-14,2.27736321497561e-06,2.26640571657392e-14,-0.397576636969105,-0.15462544817722,"SPEF1"
"58",58,"1",47015494,47018319,2826,"*",8,5.34426075396508e-45,1.63874868048624e-15,0.00020499887049794,2.6745676265178e-14,-0.500228382534432,-0.170008658498286,"MKNK1-AS1, KNCN"
"59",59,"13",114220436,114220724,289,"*",4,0,9.66093404622348e-08,2.9398311113101e-13,2.85813353792529e-14,-0.198295631983894,-0.107070582425326,NA
"60",60,"5",154316775,154318104,1330,"*",13,1.57760596948135e-153,8.86967308371333e-10,1.89050400869746e-05,3.14296934633745e-14,-0.472737030838927,-0.123051623827805,"GEMIN5"
"61",61,"10",1462906,1463108,203,"*",3,0,1.11743197988699e-08,2.84910223260138e-13,3.65902865612001e-14,-0.198577217091693,-0.105581759754692,"ADARB2"
"62",62,"14",77941556,77942302,747,"*",5,0,2.30754750407658e-09,3.76735680186246e-13,4.41322643514968e-14,-0.287888924226792,-0.124610036788083,"ISM2"
"63",63,"1",55012408,55013709,1302,"*",5,0,1.57594966871603e-07,4.00768672350839e-13,4.4993371573943e-14,-0.508194970574011,-0.108476415556459,"ACOT11"
"64",64,"4",6659194,6661856,2663,"*",7,8.53383899646686e-95,2.19106767590405e-11,8.41537217292909e-06,4.74237436187967e-14,-0.432952595918384,-0.171685670542732,NA
"65",65,"2",109934728,109934860,133,"*",3,0,1.0069470800012e-10,8.23451348475278e-13,5.31538950663214e-14,-0.245710331620961,-0.127315595429818,"SH3RF3"
"66",66,"12",125625016,125625041,26,"*",3,0,8.36935926456562e-10,2.72734317436796e-13,5.46199828264582e-14,-0.191548516318319,-0.101411449204185,"AACS"
"67",67,"7",158712271,158713901,1631,"*",5,0,8.38372975901796e-10,1.12007574804182e-12,5.56438505619267e-14,0.503735594161678,0.100473396738425,"WDR60"
"68",68,"2",95846873,95847957,1085,"*",4,0,2.36211947137998e-10,2.92489991674719e-13,5.79639511467971e-14,-0.124321971517152,-0.104838272010864,"ZNF2"
"69",69,"3",49946738,49949060,2323,"*",8,3.06136450461451e-58,6.14707148748661e-13,0.00024905483235088,6.33798355688404e-14,-0.322940668125411,-0.109654454040301,"CTD-2330K9.3, MON1A"
"70",70,"2",47603759,47604745,987,"*",3,0,1.15476917369151e-10,7.76358502038743e-13,6.46777656634177e-14,-0.198817585534994,-0.104717875328832,"EPCAM"
"71",71,"2",99013128,99013932,805,"*",4,7.90340981188884e-293,8.99599123778213e-13,3.10811010000851e-08,7.44714330328785e-14,-0.416897763285575,-0.118253085391791,"CNGA3"
"72",72,"3",50297087,50298315,1229,"*",7,2.34649109796434e-91,1.80867282352173e-13,4.62300401581434e-05,9.8687300999188e-14,-0.382699921107389,-0.129022561988872,"U73166.2"
"73",73,"6",150325970,150327115,1146,"*",11,6.16767028690028e-60,9.61841809705967e-13,0.00067294874731965,1.17520569535961e-13,-0.461490207678404,-0.11259998514767,"RAET1K"
"74",74,"5",36876111,36877626,1516,"*",10,5.11734187823383e-52,1.0868746977244e-13,0.00064537186867286,1.42527557943657e-13,-0.334764001454441,-0.100933827484097,"NIPBL"
"75",75,"5",1008558,1009934,1377,"*",9,1.206614326401e-171,4.8187510040728e-10,2.81718283521018e-06,1.45569278612624e-13,-0.222745006348505,-0.100008600670365,"NKD2"
"76",76,"4",140585523,140587536,2014,"*",10,1.37167685204207e-245,2.26403379166788e-08,1.11363290156845e-06,1.61664787133172e-13,-0.411307736338985,-0.111115360056759,"MGST2"
"77",77,"1",43738485,43739856,1372,"*",7,2.26398224734227e-58,2.36536934219415e-14,0.00018527987114388,1.73042379027918e-13,-0.461313767592965,-0.104984476316371,"TMEM125"
"78",78,"19",55873515,55876060,2546,"*",11,2.15307559784458e-48,1.38216356031079e-12,0.00038027699150071,1.97808801013406e-13,-0.282455188084401,-0.110309613691134,"FAM71E2, IL11"
"79",79,"22",37414044,37415922,1879,"*",7,0,1.66955623107294e-08,5.64238215616037e-13,2.07920932862771e-13,-0.324318533035318,-0.109199792835263,"MPST, TST"
"80",80,"20",55982315,55983730,1416,"*",5,0,3.36521358364839e-09,4.56021345663623e-13,2.16509600283667e-13,0.445923759589285,0.121764476015786,"RBM38"
"81",81,"15",40856878,40857524,647,"*",7,0,1.3377523826619e-08,5.14470444908629e-13,2.98398467187879e-13,-0.214787189121783,-0.121425019484611,"C15orf57"
"82",82,"16",11680075,11682634,2560,"*",14,4.9043057767234e-61,1.13487067054253e-09,0.00051207110804158,3.00905934684179e-13,-0.460205841690494,-0.136093391552893,"LITAF"
"83",83,"1",1685723,1685970,248,"*",4,5.81030304439385e-103,5.01937708915814e-14,1.25747312908253e-05,5.38602661184682e-13,-0.247219815604442,-0.122007442010208,"NADK"
"84",84,"4",48343090,48344328,1239,"*",6,3.10897231917556e-78,1.12125312557654e-12,4.93763086135351e-05,5.71371410022676e-13,-0.266964781412474,-0.107924637131933,"SLAIN2"
"85",85,"6",161995302,161995369,68,"*",3,0,1.40440123661819e-08,2.19367493757688e-13,5.78026652854942e-13,-0.164204382203207,-0.100561853258282,"PARK2"
"86",86,"6",31055396,31055502,107,"*",5,0,6.81355436482161e-08,1.72709635044535e-09,6.01877132868401e-13,-0.384995096203608,-0.13038604111765,NA
"87",87,"17",78803125,78803474,350,"*",6,2.10899556757044e-196,7.44224967902174e-11,6.46547924375561e-07,6.02041967277845e-13,-0.421803829776147,-0.128760518768699,"RPTOR"
"88",88,"7",157216599,157217482,884,"*",5,6.99800068088046e-80,2.92031836113193e-13,7.65712438180662e-05,6.80432657815187e-13,-0.221680192020649,-0.10784299877809,NA
"89",89,"3",48631834,48633441,1608,"*",14,2.32614102520043e-104,3.23247751052918e-12,0.0001387167319929,8.1338978445486e-13,-0.339718790380768,-0.101012454523543,"COL7A1"
"90",90,"18",59000498,59001726,1229,"*",8,1.75710018679126e-153,1.96746399351937e-11,4.48088518482152e-06,8.17501435683768e-13,-0.367452334314621,-0.148875021211512,"CDH20"
"91",91,"20",62126068,62127656,1589,"*",7,5.91331053690366e-93,3.35579420471679e-12,0.00010198273785583,1.0658591573477e-12,-0.492939039156468,-0.121540837704686,"EEF1A2"
"92",92,"3",26388027,26388072,46,"*",3,0,2.68083877352293e-08,2.23574812326301e-13,1.07604351394347e-12,-0.158498810405694,-0.102715490569339,NA
"93",93,"2",157198069,157199345,1277,"*",6,2.91048421738286e-101,1.2598240409387e-11,4.63663664295263e-05,1.22780321853488e-12,-0.211049071630059,-0.107983546245414,"NR4A2"
"94",94,"2",220411924,220412606,683,"*",5,1.24878117486917e-94,1.41212282382409e-13,2.88929425248433e-05,1.30051374026789e-12,-0.388847393116956,-0.185867841367207,"TMEM198, RP11-256I23.1"
"95",95,"10",77155143,77158502,3360,"*",13,1.41352228049626e-31,1.77017243523052e-11,0.00043010225515999,1.54429441347245e-12,-0.407500708012917,-0.129291885771193,"RP11-399K21.11, ZNF503"
"96",96,"22",46859616,46860524,909,"*",5,5.72062193683225e-62,1.08489086358383e-13,0.00016384517178271,2.0643023039497e-12,-0.308027073377775,-0.102067298321846,"CELSR1"
"97",97,"20",60794588,60796414,1827,"*",13,1.60229375991747e-60,7.96656537556269e-12,0.00026407445320161,2.18518572300328e-12,-0.338201694952949,-0.106818898069285,"HRH3"
"98",98,"2",234112793,234113372,580,"*",5,2.40568390293021e-65,1.43188630367409e-13,0.00013389628909529,2.58875550944745e-12,-0.194334890969112,-0.113809373050128,"INPP5D"
"99",99,"1",35391769,35393790,2022,"*",4,1.03708580126006e-113,3.49698431679537e-13,5.0087353040084e-06,2.7051280563593e-12,-0.388094219381929,-0.159956289927278,"DLGAP3"
"100",100,"5",81045966,81048495,2530,"*",11,4.86310799810781e-48,5.57287432548894e-12,0.00039749208550741,2.93682462061163e-12,-0.442693786050785,-0.106320919291464,"SSBP2"
"101",101,"6",167062104,167062226,123,"*",3,3.06486635035523e-130,5.67622938650304e-13,3.23768359386759e-06,3.04659276119003e-12,-0.268505567493792,-0.204861192496038,"RPS6KA2"
"102",102,"16",801394,801936,543,"*",3,0,4.19721641710471e-06,2.22947196727284e-13,5.30187192796907e-12,-0.153902580939939,-0.107286691574452,NA
"103",103,"2",220034739,220036660,1922,"*",6,4.7962340646158e-47,8.28388417993277e-13,0.00012073407905999,5.37893404564237e-12,-0.406588315108597,-0.136601412668776,"SLC23A3, CNPPD1"
"104",104,"4",2733397,2733970,574,"*",5,5.86609390442933e-146,2.57434544760754e-10,3.05061422803096e-06,6.5010849644057e-12,-0.194113664393365,-0.102905954204368,"FAM193A"
"105",105,"1",201777257,201778100,844,"*",6,2.37348130411486e-116,8.33577589097886e-12,6.48055825857128e-06,7.71475637370583e-12,-0.347972233096117,-0.110746603108231,"NAV1, MIR1231, IPO9-AS1"
"106",106,"8",144730494,144730562,69,"*",3,0,9.30633307464886e-06,2.19367493758082e-13,8.60900980674771e-12,-0.178451387525913,-0.100924321929853,"ZNF623"
"107",107,"1",164545553,164546143,591,"*",5,2.30323033783617e-110,1.33215061906762e-12,9.42241241962729e-06,9.00418180536307e-12,-0.276799178302908,-0.150245148621812,"PBX1"
"108",108,"17",78161110,78161706,597,"*",9,3.75938894534615e-112,5.48419003909733e-10,1.43227243512084e-05,1.19598174249964e-11,-0.487448051410424,-0.127012905038044,"CARD14"
"109",109,"2",136577303,136577346,44,"*",3,1.12484330582331e-91,1.68179466514299e-12,2.31617815685513e-05,1.26206770544017e-11,-0.554523585290795,-0.228632467799991,"LCT"
"110",110,"19",3188985,3189957,973,"*",4,1.19803915357788e-78,1.70313939292443e-12,1.90631351865927e-05,1.4700599676439e-11,-0.22963807419962,-0.124673574963334,"NCLN"
"111",111,"4",938102,939597,1496,"*",4,2.02816907837812e-138,9.87176493370849e-11,1.08904463501137e-06,1.62501690212305e-11,-0.35293097883694,-0.125096776283349,"TMEM175"
"112",112,"20",3065343,3066014,672,"*",8,4.71714549234947e-80,3.94668985473436e-08,6.39051412064278e-05,1.95546046903105e-11,-0.340031577428016,-0.128399690223926,"AVP"
"113",113,"15",29395532,29396429,898,"*",6,2.23761309653135e-174,6.44360638016953e-10,1.05647321015048e-06,2.05528225423783e-11,-0.344483656455945,-0.164838990210536,"APBA2"
"114",114,"2",11822101,11822690,590,"*",6,5.11882804843826e-130,5.03762680294794e-11,3.32462289915536e-06,2.53044326907553e-11,-0.405108481541393,-0.107704332990803,"LPIN1, AC106875.1"
"115",115,"7",791718,792718,1001,"*",5,4.41489726332654e-62,2.09891791929371e-11,7.97444927199784e-05,2.53941893683515e-11,-0.182181442024019,-0.105318902358039,"HEATR2"
"116",116,"2",241234834,241235366,533,"*",5,1.83032574240197e-138,3.02272073825832e-10,3.40409327798104e-06,2.57020749796835e-11,-0.27616457539856,-0.107284937848217,NA
"117",117,"21",45139229,45140831,1603,"*",6,5.73770452247273e-90,1.64342488613804e-10,1.12337200098684e-05,2.61633984737349e-11,-0.434545055955561,-0.136211160418056,"PDXK"
"118",118,"14",64760831,64761548,718,"*",8,1.93228478006751e-71,3.45219434598758e-11,0.00014066648327544,2.74100980278399e-11,-0.535592017733748,-0.123446272228465,"ESR2"
"119",119,"4",3417371,3418911,1541,"*",8,0,8.32992516074566e-11,0.00029957641891708,2.80155070718698e-11,0.363160625500883,0.106396790847658,"RGS12"
"120",120,"13",111996477,111997466,990,"*",3,6.29557406106082e-89,7.21765886487066e-12,1.30678856245163e-05,3.91901442946286e-11,-0.45053521044064,-0.220478336816028,"TEX29"
"121",121,"15",25329168,25331391,2224,"*",7,0,9.65048894108776e-08,2.57383308080273e-08,3.94236974413404e-11,-0.303439059394197,-0.118076701702674,"SNHG14, SNORD116-18"
"122",122,"17",8089327,8091097,1771,"*",12,3.86013947142569e-95,9.97481955481138e-10,4.25641177115989e-05,4.07543708829219e-11,-0.432562409389864,-0.105946280850219,"AC129492.1"
"123",123,"1",204346643,204347593,951,"*",7,1.41307292590903e-57,1.20472315838201e-10,0.00018326926548431,4.13684280115178e-11,-0.403848152408483,-0.12260972512862,"RP11-739N20.2, PLEKHA6"
"124",124,"1",38509934,38511105,1172,"*",7,0,4.70219536901894e-08,3.29844535023412e-06,4.2033315061912e-11,-0.502424037782618,-0.119568143463957,"POU3F1"
"125",125,"15",41407860,41409215,1356,"*",10,1.77583663849613e-99,9.91097526088962e-09,7.92134904346556e-05,4.64927754070391e-11,-0.325408690332969,-0.116988253243891,"INO80"
"126",126,"10",134023529,134024476,948,"*",6,1.46169731715774e-90,1.94894288076807e-09,3.95689028069367e-05,5.76665159085201e-11,-0.203404036852365,-0.105758320302942,"STK32C"
"127",127,"14",103430286,103431560,1275,"*",6,5.58415067245963e-83,3.05936930273733e-10,6.19738459912288e-05,6.42152780673954e-11,-0.576874259888508,-0.130361118757257,"CDC42BPB"
"128",128,"1",110282274,110283223,950,"*",6,6.87120312844945e-62,2.46584105833884e-11,0.00024724758722643,6.49496117434134e-11,-0.343351937131912,-0.127777941754422,"GSTM5, RP4-735C1.4, GSTM3"
"129",129,"17",73823769,73825227,1459,"*",7,1.41967829509743e-105,3.85414363602616e-09,2.58226346900502e-05,6.80968154623608e-11,-0.464996250357251,-0.132152682196555,"UNC13D"
"130",130,"15",33359788,33360901,1114,"*",8,4.69568886968589e-60,1.10075933998921e-10,0.00028656804897379,7.29224262968142e-11,-0.505948613709718,-0.11661961880279,"FMN1"
"131",131,"1",111822043,111822494,452,"*",4,5.97800344404217e-59,7.23096288654559e-12,0.00010098221464512,7.32969978261454e-11,-0.444246079322601,-0.164200054062926,NA
"132",132,"14",24835006,24836539,1534,"*",11,4.26344511595976e-36,2.88285602948735e-11,0.00108080652969508,7.62144109888528e-11,0.450567604100492,0.111729101756124,"NFATC4"
"133",133,"19",56092040,56093312,1273,"*",6,5.03821355884122e-89,5.0578674194096e-09,2.41324262752135e-05,7.65747911324369e-11,-0.381490717328355,-0.156821837831075,"ZNF579"
"134",134,"6",108878861,108880359,1499,"*",5,3.1492252494647e-151,7.48658390199302e-09,8.08158701995891e-06,7.86969892768654e-11,-0.410744593879676,-0.132192969643418,NA
"135",135,"2",2773427,2773984,558,"*",3,4.19905844684722e-69,1.17643523674801e-11,5.36207073421329e-05,8.49678968370698e-11,-0.512432624117182,-0.234549202948038,NA
"136",136,"16",70380558,70381052,495,"*",7,1.7143718011805e-73,3.18673825905683e-08,0.00015603845848757,8.74302430628394e-11,-0.267336652538333,-0.118599153131111,"RP11-529K1.3, DDX19A, RP11-529K1.2"
"137",137,"19",10206568,10207448,881,"*",6,1.76800514919022e-58,2.7268625467331e-08,0.00013416011238274,9.74347032954447e-11,-0.264148528660636,-0.114313630714487,"ANGPTL6"
"138",138,"1",237729917,237730049,133,"*",3,4.07800848051835e-70,1.45188879225673e-11,5.27418947538062e-05,1.03079067827409e-10,-0.197929824708318,-0.110526857279877,"RYR2"
"139",139,"7",2024828,2025903,1076,"*",7,2.65674348131647e-61,1.37965125532299e-10,0.00015636789506435,1.09222571613226e-10,-0.255758203033604,-0.134747808524434,"MAD1L1"
"140",140,"4",122085241,122086698,1458,"*",4,2.23445677388576e-46,2.10997566731019e-11,7.55078366809837e-05,1.1543557555319e-10,-0.34879154453054,-0.105952971697308,"TNIP3"
"141",141,"7",50632994,50634648,1655,"*",12,0,3.29339254703989e-05,1.14420283692837e-12,1.18937596922436e-10,0.420080623288131,0.126423550291884,"DDC"
"142",142,"19",49133421,49134105,685,"*",5,2.94958345907023e-59,1.72456575015431e-11,0.00010737954010519,1.2729900753017e-10,-0.276568320322729,-0.149241030485407,"SPHK2, DBP"
"143",143,"22",42195972,42197038,1067,"*",13,1.21370385702185e-113,6.91330556795696e-07,2.81207323733146e-05,1.41791874131603e-10,-0.523837798764223,-0.131935926874336,"CCDC134"
"144",144,"1",7408018,7409003,986,"*",4,1.47701859968775e-56,3.69338814045461e-11,0.00010057184027848,1.46350705118581e-10,0.421229405252244,0.113034296542133,"CAMTA1"
"145",145,"2",74357527,74358223,697,"*",5,8.82026396797548e-52,1.49529153783904e-11,0.00028039727856712,1.5623026240748e-10,-0.18202673561054,-0.104209533306315,NA
"146",146,"6",37460940,37461350,411,"*",5,2.96396065067228e-47,2.19392665236307e-11,0.00031454698582538,1.64658052196812e-10,-0.250671135304645,-0.122794566610589,"CCDC167"
"147",147,"4",179734190,179734220,31,"*",3,1.53510653168831e-83,3.55670419960056e-11,8.43540027489629e-06,1.65026729583805e-10,-0.332532004976686,-0.105707962639208,NA
"148",148,"1",156119457,156119618,162,"*",3,2.26385341565459e-85,3.84430591015218e-11,7.47575979573297e-06,1.74940421303211e-10,-0.454510332538465,-0.196287655212942,"SEMA4A"
"149",149,"7",20369301,20370372,1072,"*",5,1.60576159738698e-98,2.72655883091762e-09,4.28871326769693e-05,1.80691901148623e-10,-0.561504637991735,-0.142463154543575,"ITGB8, CTA-293F17.1"
"150",150,"10",3536341,3537285,945,"*",6,1.72425749187379e-35,6.62781979407191e-12,0.00139299539288667,1.85909397509678e-10,-0.214803384440782,-0.107908773771893,"RP11-482E14.1"
"151",151,"1",155910523,155911361,839,"*",6,3.22415338948187e-47,1.95482180634684e-10,0.00023301805848611,2.05604215781427e-10,-0.434389514252136,-0.104800797064161,NA
"152",152,"19",49116423,49116870,448,"*",4,2.05265701306524e-113,5.72506350795811e-09,5.56092764296534e-06,2.1320638556545e-10,-0.318162662614252,-0.109421976950632,"FAM83E"
"153",153,"21",27943730,27945413,1684,"*",5,2.55765215599301e-28,1.59566093836156e-11,0.0004694952676524,2.1836342780133e-10,-0.306122293921601,-0.145342442719569,"CYYR1"
